country,pop_2013,pop_var,gdp_2013,edb_2019,food_kcal_cap_day,prot_g_cap_day,prot_ani_ratio,poultry_food_kg_cap_y,poultry_import_ratio,clust
Antigua and Barbuda,0.09,105.88235294117644,12224.864912,59.48,2416.0,83.49,68.06803209965265,55.555555555555564,85.71428571428571,3
Bahamas,0.377,108.33333333333334,28303.467289,58.9,2670.0,86.15999999999998,65.50603528319405,45.09283819628647,79.16666666666666,3
Grenada,0.106,101.92307692307692,7955.606892,52.71,2442.0,69.2,60.057803468208114,47.16981132075472,100.0,3
"China, Hong Kong SAR",7.204,103.38691159586682,38566.712121,84.22,3286.0,129.07000000000002,73.13860695746493,54.830649639089394,264.1425389755011,3
Kuwait,3.3689999999999998,124.68541820873428,48401.609794,62.2,3499.0,108.14999999999998,49.533055940822926,53.725140991392095,76.79558011049724,3
Netherlands,16.759,101.54507998061077,51466.478134,76.04,3222.0,111.46,67.97057240265568,23.927441971478014,132.40740740740742,3
Saint Kitts and Nevis,0.054000000000000006,105.88235294117649,14823.748773,54.36,2491.0,72.32000000000002,63.02544247787611,55.555555555555564,100.0,3
Saint Lucia,0.182,105.20231213872832,7603.788464,63.02,2589.0,85.74,59.062281315605325,71.42857142857143,92.30769230769229,3
Saint Vincent and the Grenadines,0.109,100.0,6597.2137520000015,56.35,2965.0,86.26999999999998,54.456937521734076,73.39449541284405,100.0,3
Oman,3.6319999999999997,140.0154202004626,21268.756403,67.19,3140.0,88.20999999999998,51.80818501303707,31.38766519823789,103.50877192982458,3
United Arab Emirates,9.346,137.46139138108543,43315.138419,81.28,3275.0,104.51,39.90048799157976,41.087096083886145,97.65625,3
Samoa,0.19,103.82513661202186,4217.831676,63.77,2956.0,85.53000000000002,62.72652870337893,63.157894736842096,92.85714285714286,3
Belgium,11.104000000000001,103.07249605495218,46713.462219,73.95,3737.0,99.37000000000003,58.50860420650096,12.15778097982709,176.22377622377624,3
