country,pop_2013,pop_var,gdp_2013,edb_2019,food_kcal_cap_day,prot_g_cap_day,prot_ani_ratio,poultry_food_kg_cap_y,poultry_import_ratio,clust
Armenia,2.977,100.0,3843.590751,75.37,2924.0,90.05999999999997,48.012436153675324,13.436345314074572,80.0,2
Afghanistan,30.552,113.02160402485943,681.0339740000002,47.77,2087.0,58.26000000000002,20.9577754891864,2.454831107619796,64.0,5
Albania,3.173,100.5068102629078,4376.9705490000015,69.51,3188.0,111.37,53.34470683307892,13.23668452568547,59.523809523809526,2
Algeria,39.208,109.74947515745278,5471.866638,49.65,3293.0,91.92000000000002,27.175805047867712,7.421954703121813,1.0309278350515465,5
Angola,21.471999999999998,117.24363874631428,5258.408672,43.86,2474.0,57.269999999999975,32.12851405622489,17.32488822652757,91.93548387096773,5
Antigua and Barbuda,0.09,105.88235294117644,12224.864912,59.48,2416.0,83.49,68.06803209965265,55.555555555555564,85.71428571428571,3
Argentina,41.446000000000005,104.46113519508013,14417.421454,58.8,3226.0,102.6,65.23391812865496,38.65270472421947,0.24968789013732834,2
Australia,23.343000000000004,107.84476784476784,66301.306788,80.13,3278.0,106.26,67.46659137963485,46.13802853103714,1.5784586815227482,1
Austria,8.495,101.83409254375448,50137.519579,78.57,3770.0,106.20000000000002,59.19020715630885,18.599175985874048,62.1301775147929,1
Bahamas,0.377,108.33333333333334,28303.467289,58.9,2670.0,86.15999999999998,65.50603528319405,45.09283819628647,79.16666666666666,3
Barbados,0.285,102.51798561151077,15755.427261,56.78,2936.0,88.76000000000003,56.917530419107706,42.10526315789474,6.666666666666668,2
Bangladesh,156.595,105.82888423329054,974.193541,41.97,2453.0,55.86,17.776584317937697,1.4048979852485712,0.0,5
Bolivia (Plurinational State of),10.671,108.51128737034777,2947.938522,50.32,2250.0,65.96,45.118253486961784,34.29856620747821,0.27322404371584696,5
Botswana,2.021,104.49844881075492,7001.027578,65.4,2325.0,64.85000000000002,40.7555898226677,5.442850074220684,54.54545454545454,5
Brazil,200.362,104.4825464368032,12216.965936,60.01,3262.0,95.00999999999998,55.352068203347024,44.99855261975824,0.033274179236912164,2
Belize,0.332,112.92517006802723,4688.538879,57.13,2746.0,73.2,39.549180327868854,27.108433734939762,0.0,5
Solomon Islands,0.561,111.3095238095238,1875.738239,59.17,2383.0,56.31,30.989167110637545,3.5650623885918,100.0,5
Brunei Darussalam,0.418,107.7319587628866,44598.075686,72.03,2985.0,93.29,56.76921427805768,62.20095693779904,7.6923076923076925,1
Bulgaria,7.223,96.25533049040511,7673.951742,71.24,2828.0,83.41000000000003,49.5144467090277,20.62854769486363,56.95364238410596,2
Myanmar,53.25899999999999,104.07433462305076,1207.807683,44.72,2574.0,82.61,40.830407940927245,21.874237218122765,0.0835421888053467,5
Cameroon,22.254,113.56978821127841,1493.746454,47.78,2669.0,69.96,16.709548313321896,3.280309157904197,1.3698630136986298,5
Canada,35.181999999999995,105.43002697033266,52264.959967,79.26,3499.0,105.06000000000004,52.06548638873026,36.66647717582855,17.519379844961247,1
Cabo Verde,0.499,102.88659793814436,3558.7979,55.95,2605.0,73.59000000000002,37.92634868868053,18.03607214428858,100.0,5
Central African Republic,4.6160000000000005,110.29868578255676,347.913167,36.9,1879.0,46.04,37.185056472632496,1.5164644714038134,14.285714285714285,5
Sri Lanka,21.273000000000003,104.01427733229023,3620.448452000001,61.22,2537.0,59.649999999999984,27.342833193629502,4.935834155972358,0.0,5
Chad,12.825,116.26325809083492,1051.306964,39.36,2109.0,62.75000000000002,15.47410358565737,0.3898635477582846,0.0,5
Chile,17.62,104.68777850395105,15941.397939,71.81,2980.0,87.32000000000004,51.832340815391674,36.49262202043133,12.597200622083983,2
"China, mainland",1385.567,103.19006086839303,6967.799286,73.64,3112.0,98.05,40.050994390617035,13.1960417648515,3.1938747607328413,4
Colombia,48.321000000000005,107.01614510663744,8030.585914,69.24,2800.0,64.30999999999999,52.06033276317835,27.565654684298753,4.354354354354354,2
Congo,4.448,114.7574819401445,2951.053853000001,36.85,2206.0,51.41,43.26006613499319,13.039568345323739,87.93103448275862,5
Costa Rica,4.872,107.47849106551952,10569.665626,68.89,2846.0,75.04999999999998,54.61692205196535,24.42528735632184,6.722689075630252,2
Cyprus,1.141,105.94243268337978,27944.122813,71.71,2646.0,77.53999999999998,58.09904565385608,24.539877300613494,38.23529411764706,2
Azerbaijan,9.413,106.02613201171437,7901.783462,78.64,3113.0,93.11,32.30587477177532,10.517369595240623,5.05050505050505,5
Benin,10.323,115.04513540621866,910.669201,51.42,2619.0,64.37999999999998,22.134203168685932,19.66482611643902,91.13300492610836,5
Denmark,5.619,102.23799126637554,60942.805627,84.64,3366.0,108.74000000000004,64.19900680522346,26.695141484249863,66.88741721854305,1
Dominica,0.07200000000000001,101.40845070422534,6933.4154290000015,61.07,2930.0,76.28,51.36339800734139,27.777777777777782,100.0,5
Dominican Republic,10.404000000000002,106.7076923076923,6027.049213,61.12,2611.0,58.16000000000001,45.35763411279229,27.58554402153018,8.362369337979095,5
Belarus,9.357000000000001,97.91753871912935,7967.962369,75.77,3249.0,93.78,58.59458306675197,31.313455167254464,5.460750853242321,2
Ecuador,15.738,108.4481808158765,6074.090829,57.94,2346.0,61.3,59.54323001631321,21.857923497267763,0.2906976744186047,5
Egypt,82.056,108.69496105547607,2988.251729,58.56,3518.0,103.21999999999998,25.518310404960275,14.429170322706444,10.557432432432432,5
El Salvador,6.34,103.0559167750325,3895.664061,65.41,2576.0,71.71999999999998,35.192414947016175,19.87381703470032,13.492063492063492,5
Estonia,1.287,98.39449541284401,19020.841095,80.5,3248.0,103.65000000000002,51.35552339604437,20.97902097902098,74.07407407407408,2
Fiji,0.8809999999999999,104.38388625592418,4763.100059,61.15,2943.0,73.53000000000002,42.676458588331286,20.431328036322363,5.263157894736842,5
Finland,5.426,102.0308386611508,49659.588178,80.35,3366.0,117.56000000000004,62.12146988771689,19.904165130851453,14.035087719298243,1
France,64.291,102.77844387959009,42493.606628,77.29,3482.0,110.5,62.75113122171947,22.927003779689226,27.360931435963767,1
Djibouti,0.873,107.77777777777777,1553.159843,62.02,2609.0,65.62,22.965559280707108,2.290950744558992,100.0,5
Georgia,4.341,98.36845683208702,3989.345341,83.28,2902.0,80.5,35.80124223602484,12.209168394379175,81.13207547169812,2
