country,pop_2013,pop_var,prot_ani_ratio,prot_g_cap_day,food_kcal_cap_day
Armenia,2.977,100.0,48.01243615367533,90.05999999999999,2924.0
Afghanistan,30.552,113.02160402485943,20.9577754891864,58.26000000000002,2087.0
Albania,3.173,100.50681026290782,53.34470683307892,111.37,3188.0
Algeria,39.208,109.74947515745275,27.175805047867712,91.92000000000002,3293.0
Angola,21.472,117.24363874631429,32.128514056224894,57.26999999999997,2474.0
Antigua and Barbuda,0.09,105.88235294117645,68.06803209965265,83.49,2416.0
Argentina,41.446,104.46113519508013,65.23391812865496,102.60000000000001,3226.0
Australia,23.343,107.84476784476784,67.46659137963485,106.25999999999999,3278.0
Austria,8.495,101.83409254375448,59.19020715630885,106.20000000000002,3770.0
Bahamas,0.377,108.33333333333334,65.50603528319405,86.15999999999998,2670.0
Barbados,0.285,102.51798561151078,56.917530419107706,88.76000000000003,2936.0
Bangladesh,156.595,105.82888423329054,17.7765843179377,55.86,2453.0
Bermuda,0.065,100.0,66.71093404161134,90.36,2668.0
Bolivia (Plurinational State of),10.671,108.51128737034776,45.118253486961784,65.96,2250.0
Botswana,2.021,104.49844881075492,40.7555898226677,64.85000000000002,2325.0
Brazil,200.362,104.48254643680319,55.352068203347024,95.00999999999998,3262.0
Belize,0.332,112.92517006802723,39.54918032786885,73.2,2746.0
Solomon Islands,0.561,111.30952380952381,30.989167110637545,56.31,2383.0
Brunei Darussalam,0.418,107.73195876288659,56.769214278057675,93.29,2985.0
Bulgaria,7.223,96.25533049040513,49.5144467090277,83.41000000000003,2828.0
Myanmar,53.259,104.07433462305077,40.83040794092725,82.61,2574.0
Cameroon,22.254,113.56978821127841,16.709548313321896,69.96,2669.0
Canada,35.182,105.43002697033266,52.065486388730264,105.06000000000003,3499.0
Cabo Verde,0.499,102.88659793814435,37.92634868868053,73.59000000000002,2605.0
Central African Republic,4.616,110.29868578255675,37.185056472632496,46.04,1879.0
Sri Lanka,21.273,104.01427733229023,27.342833193629506,59.649999999999984,2537.0
Chad,12.825,116.26325809083491,15.47410358565737,62.75000000000002,2109.0
Chile,17.62,104.68777850395105,51.83234081539167,87.32000000000005,2980.0
"China, mainland",1385.567,103.19006086839305,40.050994390617035,98.05,3112.0
Colombia,48.321,107.01614510663744,52.06033276317835,64.30999999999999,2800.0
Congo,4.448,114.7574819401445,43.26006613499319,51.41,2206.0
Costa Rica,4.872,107.47849106551952,54.61692205196535,75.04999999999998,2846.0
Cuba,11.266,99.7344192634561,34.9768875192604,90.85999999999999,3402.0
Cyprus,1.141,105.94243268337978,58.099045653856074,77.53999999999999,2646.0
Azerbaijan,9.413,106.02613201171435,32.30587477177532,93.10999999999999,3113.0
Benin,10.323,115.04513540621866,22.134203168685936,64.37999999999998,2619.0
Denmark,5.619,102.23799126637554,64.19900680522346,108.74000000000004,3366.0
Dominica,0.072,101.40845070422534,51.363398007341374,76.28,2930.0
Dominican Republic,10.404,106.7076923076923,45.35763411279229,58.16000000000001,2611.0
Belarus,9.357,97.91753871912935,58.59458306675198,93.77999999999999,3249.0
Ecuador,15.738,108.4481808158765,59.54323001631321,61.3,2346.0
Egypt,82.056,108.69496105547607,25.518310404960275,103.21999999999998,3518.0
El Salvador,6.34,103.0559167750325,35.192414947016175,71.71999999999998,2576.0
Estonia,1.287,98.39449541284402,51.35552339604437,103.65000000000002,3248.0
Fiji,0.881,104.38388625592418,42.676458588331286,73.53000000000002,2943.0
Finland,5.426,102.03083866115081,62.121469887716906,117.56000000000004,3366.0
France,64.291,102.7784438795901,62.75113122171947,110.5,3482.0
French Polynesia,0.277,105.32319391634981,65.59062403618793,97.27,2923.0
Djibouti,0.873,107.77777777777777,22.965559280707105,65.62,2609.0
Georgia,4.341,98.36845683208702,35.80124223602484,80.5,2902.0
Gabon,1.672,112.74443695212406,49.895688456189156,86.28000000000002,2826.0
Gambia,1.849,117.17363751584284,22.997879628119392,61.309999999999995,2621.0
Germany,82.727,99.21683857040058,60.64700660814678,101.39000000000001,3503.0
Bosnia and Herzegovina,3.829,99.17119917119918,33.22404371584701,91.5,3156.0
Ghana,25.905,112.09433145824319,26.668731609106395,64.57000000000002,3014.0
Kiribati,0.102,107.36842105263158,48.13198800109081,73.33999999999999,3042.0
Greece,11.128,100.40602724893981,54.51449608835711,108.64999999999996,3394.0
Grenada,0.106,101.92307692307692,60.05780346820811,69.2,2442.0
