ctry_cd,country,item_cd,item,origin,population,Protein supply (kg/ctry/y)
1,Armenia,2511,Wheat and products,vegetal,2977000,33163184.599999998
1,Armenia,2513,Barley and products,vegetal,2977000,0.0
1,Armenia,2514,Maize and products,vegetal,2977000,10866.05
1,Armenia,2515,Rye and products,vegetal,2977000,21732.1
1,Armenia,2516,Oats,vegetal,2977000,97794.45
1,Armenia,2520,"Cereals, Other",vegetal,2977000,423775.95
1,Armenia,2531,Potatoes and products,vegetal,2977000,2108013.6999999997
1,Armenia,2549,"Pulses, Other and products",vegetal,2977000,0.0
1,Armenia,2551,Nuts and products,vegetal,2977000,456374.1
1,Armenia,2556,Groundnuts (Shelled Eq),vegetal,2977000,315115.44999999995
1,Armenia,2558,Rape and Mustardseed,vegetal,2977000,0.0
1,Armenia,2560,Coconuts - Incl Copra,vegetal,2977000,0.0
1,Armenia,2561,Sesame seed,vegetal,2977000,0.0
1,Armenia,2563,Olives (including preserved),vegetal,2977000,32598.149999999998
1,Armenia,2573,Sunflowerseed Oil,vegetal,2977000,43464.2
1,Armenia,2586,"Oilcrops Oil, Other",vegetal,2977000,0.0
1,Armenia,2601,Tomatoes and products,vegetal,2977000,2108013.6999999997
1,Armenia,2602,Onions,vegetal,2977000,575900.65
1,Armenia,2605,"Vegetables, Other",vegetal,2977000,7236789.3
1,Armenia,2611,"Oranges, Mandarines",vegetal,2977000,76062.35
1,Armenia,2612,"Lemons, Limes and products",vegetal,2977000,10866.05
1,Armenia,2613,Grapefruit and products,vegetal,2977000,0.0
1,Armenia,2614,"Citrus, Other",vegetal,2977000,10866.05
1,Armenia,2615,Bananas,vegetal,2977000,10866.05
1,Armenia,2616,Plantains,vegetal,2977000,65196.299999999996
1,Armenia,2617,Apples and products,vegetal,2977000,86928.4
1,Armenia,2618,Pineapples and products,vegetal,2977000,0.0
1,Armenia,2619,Dates,vegetal,2977000,10866.05
1,Armenia,2620,Grapes and products (excl wine),vegetal,2977000,206454.94999999998
1,Armenia,2625,"Fruits, Other",vegetal,2977000,1532113.05
1,Armenia,2630,Coffee and products,vegetal,2977000,706293.25
1,Armenia,2633,Cocoa Beans and products,vegetal,2977000,488972.25
1,Armenia,2635,Tea (including mate),vegetal,2977000,32598.149999999998
1,Armenia,2640,Pepper,vegetal,2977000,10866.05
1,Armenia,2641,Pimento,vegetal,2977000,10866.05
1,Armenia,2645,"Spices, Other",vegetal,2977000,10866.05
1,Armenia,2656,Beer,vegetal,2977000,97794.45
1,Armenia,2680,Infant food,vegetal,2977000,76062.35
1,Armenia,2731,Bovine Meat,animal,2977000,8660241.85
1,Armenia,2732,Mutton & Goat Meat,animal,2977000,1216997.6
1,Armenia,2733,Pigmeat,animal,2977000,2749110.6499999994
1,Armenia,2734,Poultry Meat,animal,2977000,4900588.55
1,Armenia,2735,"Meat, Other",animal,2977000,0.0
1,Armenia,2736,"Offals, Edible",animal,2977000,2444861.25
1,Armenia,2737,"Fats, Animals, Raw",animal,2977000,239053.1
1,Armenia,2740,"Butter, Ghee",animal,2977000,43464.2
1,Armenia,2743,Cream,animal,2977000,0.0
1,Armenia,2744,Eggs,animal,2977000,3727055.15
1,Armenia,2745,Honey,vegetal,2977000,10866.05
1,Armenia,2761,Freshwater Fish,animal,2977000,1064872.9
1,Armenia,2762,Demersal Fish,animal,2977000,32598.149999999998
1,Armenia,2763,Pelagic Fish,animal,2977000,271651.25
1,Armenia,2764,"Marine Fish, Other",animal,2977000,54330.25
1,Armenia,2765,Crustaceans,animal,2977000,0.0
1,Armenia,2766,Cephalopods,animal,2977000,0.0
1,Armenia,2767,"Molluscs, Other",animal,2977000,0.0
1,Armenia,2769,"Aquatic Animals, Others",animal,2977000,0.0
1,Armenia,2775,Aquatic Plants,animal,2977000,0.0
1,Armenia,2781,"Fish, Body Oil",animal,2977000,0.0
1,Armenia,2782,"Fish, Liver Oil",animal,2977000,0.0
1,Armenia,2805,Rice (Milled Equivalent),vegetal,2977000,717159.2999999999
1,Armenia,2848,Milk - Excluding Butter,animal,2977000,21579975.3
1,Armenia,2899,Miscellaneous,vegetal,2977000,108660.5
2,Afghanistan,2511,Wheat and products,vegetal,30552000,411601126.8
2,Afghanistan,2513,Barley and products,vegetal,30552000,8809669.2
2,Afghanistan,2514,Maize and products,vegetal,30552000,6244828.8
2,Afghanistan,2517,Millet and products,vegetal,30552000,892118.4
2,Afghanistan,2520,"Cereals, Other",vegetal,30552000,0.0
2,Afghanistan,2531,Potatoes and products,vegetal,30552000,2787870.0
2,Afghanistan,2549,"Pulses, Other and products",vegetal,30552000,17396308.8
2,Afghanistan,2551,Nuts and products,vegetal,30552000,4237562.399999999
2,Afghanistan,2560,Coconuts - Incl Copra,vegetal,30552000,0.0
2,Afghanistan,2561,Sesame seed,vegetal,30552000,3010899.6
2,Afghanistan,2563,Olives (including preserved),vegetal,30552000,0.0
2,Afghanistan,2586,"Oilcrops Oil, Other",vegetal,30552000,0.0
2,Afghanistan,2601,Tomatoes and products,vegetal,30552000,0.0
2,Afghanistan,2605,"Vegetables, Other",vegetal,30552000,9478758.0
2,Afghanistan,2611,"Oranges, Mandarines",vegetal,30552000,780603.6
2,Afghanistan,2614,"Citrus, Other",vegetal,30552000,223029.6
2,Afghanistan,2615,Bananas,vegetal,30552000,557574.0
2,Afghanistan,2617,Apples and products,vegetal,30552000,223029.6
2,Afghanistan,2619,Dates,vegetal,30552000,0.0
2,Afghanistan,2620,Grapes and products (excl wine),vegetal,30552000,3010899.6
2,Afghanistan,2625,"Fruits, Other",vegetal,30552000,1561207.2
2,Afghanistan,2630,Coffee and products,vegetal,30552000,0.0
2,Afghanistan,2633,Cocoa Beans and products,vegetal,30552000,111514.8
2,Afghanistan,2635,Tea (including mate),vegetal,30552000,10705420.799999999
2,Afghanistan,2640,Pepper,vegetal,30552000,0.0
2,Afghanistan,2645,"Spices, Other",vegetal,30552000,1226662.8
2,Afghanistan,2656,Beer,vegetal,30552000,0.0
2,Afghanistan,2680,Infant food,vegetal,30552000,334544.39999999997
2,Afghanistan,2731,Bovine Meat,animal,30552000,21076297.2
2,Afghanistan,2732,Mutton & Goat Meat,animal,30552000,21299326.8
2,Afghanistan,2734,Poultry Meat,animal,30552000,9701787.6
2,Afghanistan,2735,"Meat, Other",animal,30552000,1895751.5999999999
2,Afghanistan,2736,"Offals, Edible",animal,30552000,8586639.6
2,Afghanistan,2737,"Fats, Animals, Raw",animal,30552000,111514.8
2,Afghanistan,2740,"Butter, Ghee",animal,30552000,334544.39999999997
2,Afghanistan,2743,Cream,animal,30552000,446059.2
2,Afghanistan,2744,Eggs,animal,30552000,4237562.399999999
2,Afghanistan,2745,Honey,vegetal,30552000,0.0
2,Afghanistan,2761,Freshwater Fish,animal,30552000,223029.6
2,Afghanistan,2805,Rice (Milled Equivalent),vegetal,30552000,30108996.0
2,Afghanistan,2848,Milk - Excluding Butter,animal,30552000,68247057.6
2,Afghanistan,2899,Miscellaneous,vegetal,30552000,223029.6
3,Albania,2511,Wheat and products,vegetal,3173000,38959997.8
3,Albania,2513,Barley and products,vegetal,3173000,34744.35
3,Albania,2514,Maize and products,vegetal,3173000,359024.95
3,Albania,2515,Rye and products,vegetal,3173000,150558.85
3,Albania,2516,Oats,vegetal,3173000,34744.35
3,Albania,2520,"Cereals, Other",vegetal,3173000,11581.449999999999
3,Albania,2531,Potatoes and products,vegetal,3173000,2188894.05
3,Albania,2533,Sweet potatoes,vegetal,3173000,11581.449999999999
3,Albania,2546,Beans,vegetal,3173000,3381783.4
3,Albania,2547,Peas,vegetal,3173000,0.0
3,Albania,2549,"Pulses, Other and products",vegetal,3173000,254791.9
3,Albania,2551,Nuts and products,vegetal,3173000,706468.45
3,Albania,2556,Groundnuts (Shelled Eq),vegetal,3173000,127395.95
3,Albania,2558,Rape and Mustardseed,vegetal,3173000,0.0
3,Albania,2560,Coconuts - Incl Copra,vegetal,3173000,0.0
3,Albania,2563,Olives (including preserved),vegetal,3173000,799120.0499999999
3,Albania,2573,Sunflowerseed Oil,vegetal,3173000,0.0
3,Albania,2577,Palm Oil,vegetal,3173000,0.0
3,Albania,2586,"Oilcrops Oil, Other",vegetal,3173000,23162.899999999998
3,Albania,2601,Tomatoes and products,vegetal,3173000,1540332.8499999999
3,Albania,2602,Onions,vegetal,3173000,1030749.0499999999
3,Albania,2605,"Vegetables, Other",vegetal,3173000,4713650.149999999
